Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
252,Cap Boso,CHI,25,TE,6,0,6,50,8.3,0,15,,1,8.3,0,BosoCa00
253,Doug DuBose,SFO,24,RB,14,0,6,57,9.5,0,13,,0.4,4.1,2,DuboDo00
254,K.D. Dunn,NYJ,25,TE,15,2,6,67,11.2,0,26,,0.4,4.5,0,DunnKD00
255,Jimmie Giles,PHI,34,TE,16,1,6,57,9.5,1,17,,0.4,3.6,0,GileJi00
256,Gaston Green,RAM,22,RB,10,0,6,57,9.5,0,19,,0.6,5.7,1,GreeGa00
257,Darryl Harris,MIN,22,RB,14,0,6,30,5,0,7,,0.4,2.1,1,HarrDa00
258,Tommy Kane,SEA,24,WR,9,0,6,32,5.3,0,9,,0.7,3.6,0,KaneTo00
259,Larry Moriarty,KAN,30,RB,9,3,6,40,6.7,0,12,,0.7,4.4,0,MoriLa00
260,Scott Schwedes,MIA,23,WR,16,1,6,130,21.7,0,42,,0.4,8.1,1,SchwSc00
261,Charles White,RAM,30,RB,12,3,6,36,6,0,18,,0.5,3,3,WhitCh00
262,Jamie Williams,HOU,28,TE,16,16,6,46,7.7,0,10,,0.4,2.9,0,WillJa00
263,Anthony Allen,WAS,29,WR,14,0,5,48,9.6,1,18,,0.4,3.4,2,AlleAn00
264,Mark Bellini,IND,24,WR,15,0,5,64,12.8,0,25,,0.3,4.3,0,BellMa00
265,Hoby Brenner,NOR,29,TE,10,8,5,67,13.4,0,24,,0.5,6.7,0,BrenHo00
266,Clint Didier,GNB,29,TE,15,0,5,37,7.4,1,15,,0.3,2.5,1,DidiCl00
267,D.J. Dozier,MIN,23,RB,8,1,5,49,9.8,0,20,,0.6,6.1,0,DoziDJ00
268,Kelvin Edwards,DAL,24,WR,8,2,5,93,18.6,0,27,,0.6,11.6,1,EdwaKe00
269,Ira Hillary,CIN,26,WR,16,0,5,76,15.2,1,31,,0.3,4.8,0,HillIr00
270,Stanford Jennings,CIN,26,RB,16,1,5,75,15,0,31,,0.3,4.7,1,JennSt00
271,Buford Jordan,NOR,26,RB,14,4,5,70,14,0,25,,0.4,5,1,JordBu00
272,Phil McConkey,NYG,31,WR,16,0,5,72,14.4,0,28,,0.3,4.5,2,McCoPh00
